,season,home,homegoals,away,awaygoals
0,['2022-2023'],Arsenal,5,Wolves,0
1,['2022-2023'],Aston Villa,2,Brighton,1
2,['2022-2023'],Brentford,1,Manchester City,0
3,['2022-2023'],Chelsea,1,Newcastle,1
4,['2022-2023'],Crystal Palace,1,Nottingham,1
5,['2022-2023'],Everton,1,Bournemouth,0
6,['2022-2023'],Leeds,1,Tottenham,4
7,['2022-2023'],Leicester,2,West Ham,1
8,['2022-2023'],Manchester Utd,2,Fulham,1
9,['2022-2023'],Southampton,4,Liverpool,4
10,['2022-2023'],Manchester Utd,4,Chelsea,1
11,['2022-2023'],Brighton,1,Manchester City,1
12,['2022-2023'],Newcastle,0,Leicester,0
13,['2022-2023'],Manchester City,1,Chelsea,0
14,['2022-2023'],Brighton,3,Southampton,1
15,['2022-2023'],West Ham,3,Leeds,1
16,['2022-2023'],Nottingham,1,Arsenal,0
17,['2022-2023'],Bournemouth,0,Manchester Utd,1
18,['2022-2023'],Fulham,2,Crystal Palace,2
19,['2022-2023'],Liverpool,1,Aston Villa,1
20,['2022-2023'],Wolves,1,Everton,1
21,['2022-2023'],Tottenham,1,Brentford,3
22,['2022-2023'],Newcastle,4,Brighton,1
23,['2022-2023'],Leicester,0,Liverpool,3
24,['2022-2023'],Arsenal,0,Brighton,3
25,['2022-2023'],Brentford,2,West Ham,0
26,['2022-2023'],Everton,0,Manchester City,3
27,['2022-2023'],Aston Villa,2,Tottenham,1
28,['2022-2023'],Chelsea,2,Nottingham,2
29,['2022-2023'],Crystal Palace,2,Bournemouth,0
30,['2022-2023'],Manchester Utd,2,Wolves,0
31,['2022-2023'],Southampton,0,Fulham,2
32,['2022-2023'],Leeds,2,Newcastle,2
33,['2022-2023'],Nottingham,4,Southampton,3
34,['2022-2023'],Brighton,1,Everton,5
35,['2022-2023'],Fulham,5,Leicester,3
36,['2022-2023'],West Ham,1,Manchester Utd,0
37,['2022-2023'],Newcastle,0,Arsenal,2
38,['2022-2023'],Liverpool,1,Brentford,0
39,['2022-2023'],Bournemouth,1,Chelsea,3
40,['2022-2023'],Manchester City,2,Leeds,1
41,['2022-2023'],Tottenham,1,Crystal Palace,0
42,['2022-2023'],Wolves,1,Aston Villa,0
43,['2022-2023'],Brighton,1,Manchester Utd,0
44,['2022-2023'],Liverpool,1,Fulham,0
45,['2022-2023'],Manchester City,3,West Ham,0
46,['2022-2023'],Arsenal,3,Chelsea,1
47,['2022-2023'],Leicester,2,Everton,2
48,['2022-2023'],Liverpool,4,Tottenham,3
49,['2022-2023'],Bournemouth,4,Leeds,1
50,['2022-2023'],Fulham,1,Manchester City,2
51,['2022-2023'],Manchester Utd,1,Aston Villa,0
52,['2022-2023'],Newcastle,3,Southampton,1
53,['2022-2023'],Brentford,2,Nottingham,1
54,['2022-2023'],Brighton,6,Wolves,0
55,['2022-2023'],Crystal Palace,4,West Ham,3
56,['2022-2023'],Tottenham,2,Manchester Utd,2
57,['2022-2023'],Everton,1,Newcastle,4
58,['2022-2023'],Southampton,0,Bournemouth,1
59,['2022-2023'],Manchester City,4,Arsenal,1
60,['2022-2023'],Chelsea,0,Brentford,2
61,['2022-2023'],West Ham,1,Liverpool,2
62,['2022-2023'],Nottingham,3,Brighton,1
63,['2022-2023'],Leeds,1,Leicester,1
64,['2022-2023'],Aston Villa,1,Fulham,0
65,['2022-2023'],Wolves,2,Crystal Palace,0
66,['2022-2023'],Bournemouth,0,West Ham,4
67,['2022-2023'],Newcastle,6,Tottenham,1
68,['2022-2023'],Brentford,1,Aston Villa,1
69,['2022-2023'],Crystal Palace,0,Everton,0
70,['2022-2023'],Leicester,2,Wolves,1
71,['2022-2023'],Liverpool,3,Nottingham,2
72,['2022-2023'],Fulham,2,Leeds,1
73,['2022-2023'],Arsenal,3,Southampton,3
74,['2022-2023'],Leeds,1,Liverpool,6
75,['2022-2023'],Nottingham,0,Manchester Utd,2
76,['2022-2023'],West Ham,2,Arsenal,2
77,['2022-2023'],Manchester City,3,Leicester,1
78,['2022-2023'],Chelsea,1,Brighton,2
79,['2022-2023'],Everton,1,Fulham,3
80,['2022-2023'],Southampton,0,Crystal Palace,2
81,['2022-2023'],Tottenham,2,Bournemouth,3
82,['2022-2023'],Wolves,2,Brentford,0
83,['2022-2023'],Aston Villa,3,Newcastle,0
84,['2022-2023'],Liverpool,2,Arsenal,2
85,['2022-2023'],Leeds,1,Crystal Palace,5
86,['2022-2023'],Southampton,1,Manchester City,4
87,['2022-2023'],Aston Villa,2,Nottingham,0
88,['2022-2023'],Brentford,1,Newcastle,2
89,['2022-2023'],Fulham,0,West Ham,1
90,['2022-2023'],Leicester,0,Bournemouth,1
91,['2022-2023'],Tottenham,2,Brighton,1
92,['2022-2023'],Wolves,1,Chelsea,0
93,['2022-2023'],Manchester Utd,2,Everton,0
94,['2022-2023'],Manchester Utd,1,Brentford,0
95,['2022-2023'],West Ham,1,Newcastle,5
96,['2022-2023'],Chelsea,0,Liverpool,0
97,['2022-2023'],Bournemouth,0,Brighton,2
98,['2022-2023'],Leeds,2,Nottingham,1
99,['2022-2023'],Leicester,1,Aston Villa,2
100,['2022-2023'],Everton,1,Tottenham,1
101,['2022-2023'],Newcastle,2,Manchester Utd,0
102,['2022-2023'],West Ham,1,Southampton,0
103,['2022-2023'],Arsenal,5,Wolves,0
104,['2022-2023'],Aston Villa,2,Brighton,1
105,['2022-2023'],Brentford,1,Manchester City,0
106,['2022-2023'],Chelsea,1,Newcastle,1
107,['2022-2023'],Crystal Palace,1,Nottingham,1
108,['2022-2023'],Everton,1,Bournemouth,0
109,['2022-2023'],Leeds,1,Tottenham,4
110,['2022-2023'],Leicester,2,West Ham,1
111,['2022-2023'],Manchester Utd,2,Fulham,1
112,['2022-2023'],Southampton,4,Liverpool,4
113,['2022-2023'],Manchester Utd,4,Chelsea,1
114,['2022-2023'],Brighton,1,Manchester City,1
115,['2022-2023'],Newcastle,0,Leicester,0
116,['2022-2023'],Manchester City,1,Chelsea,0
117,['2022-2023'],Brighton,3,Southampton,1
118,['2022-2023'],West Ham,3,Leeds,1
119,['2022-2023'],Nottingham,1,Arsenal,0
120,['2022-2023'],Bournemouth,0,Manchester Utd,1
121,['2022-2023'],Fulham,2,Crystal Palace,2
122,['2022-2023'],Liverpool,1,Aston Villa,1
123,['2022-2023'],Wolves,1,Everton,1
124,['2022-2023'],Tottenham,1,Brentford,3
125,['2022-2023'],Newcastle,4,Brighton,1
126,['2022-2023'],Leicester,0,Liverpool,3
127,['2022-2023'],Arsenal,0,Brighton,3
128,['2022-2023'],Brentford,2,West Ham,0
129,['2022-2023'],Everton,0,Manchester City,3
130,['2022-2023'],Aston Villa,2,Tottenham,1
131,['2022-2023'],Chelsea,2,Nottingham,2
132,['2022-2023'],Crystal Palace,2,Bournemouth,0
133,['2022-2023'],Manchester Utd,2,Wolves,0
134,['2022-2023'],Southampton,0,Fulham,2
135,['2022-2023'],Leeds,2,Newcastle,2
136,['2022-2023'],Nottingham,4,Southampton,3
137,['2022-2023'],Brighton,1,Everton,5
138,['2022-2023'],Fulham,5,Leicester,3
139,['2022-2023'],West Ham,1,Manchester Utd,0
140,['2022-2023'],Newcastle,0,Arsenal,2
141,['2022-2023'],Liverpool,1,Brentford,0
142,['2022-2023'],Bournemouth,1,Chelsea,3
143,['2022-2023'],Manchester City,2,Leeds,1
144,['2022-2023'],Tottenham,1,Crystal Palace,0
145,['2022-2023'],Wolves,1,Aston Villa,0
146,['2022-2023'],Brighton,1,Manchester Utd,0
147,['2022-2023'],Liverpool,1,Fulham,0
148,['2022-2023'],Manchester City,3,West Ham,0
149,['2022-2023'],Arsenal,3,Chelsea,1
150,['2022-2023'],Leicester,2,Everton,2
151,['2022-2023'],Liverpool,4,Tottenham,3
152,['2022-2023'],Bournemouth,4,Leeds,1
153,['2022-2023'],Fulham,1,Manchester City,2
154,['2022-2023'],Manchester Utd,1,Aston Villa,0
155,['2022-2023'],Newcastle,3,Southampton,1
156,['2022-2023'],Brentford,2,Nottingham,1
157,['2022-2023'],Brighton,6,Wolves,0
158,['2022-2023'],Crystal Palace,4,West Ham,3
159,['2022-2023'],Tottenham,2,Manchester Utd,2
160,['2022-2023'],Everton,1,Newcastle,4
161,['2022-2023'],Southampton,0,Bournemouth,1
162,['2022-2023'],Manchester City,4,Arsenal,1
163,['2022-2023'],Chelsea,0,Brentford,2
164,['2022-2023'],West Ham,1,Liverpool,2
165,['2022-2023'],Nottingham,3,Brighton,1
166,['2022-2023'],Leeds,1,Leicester,1
167,['2022-2023'],Aston Villa,1,Fulham,0
168,['2022-2023'],Wolves,2,Crystal Palace,0
169,['2022-2023'],Bournemouth,0,West Ham,4
170,['2022-2023'],Newcastle,6,Tottenham,1
171,['2022-2023'],Brentford,1,Aston Villa,1
172,['2022-2023'],Crystal Palace,0,Everton,0
173,['2022-2023'],Leicester,2,Wolves,1
174,['2022-2023'],Liverpool,3,Nottingham,2
175,['2022-2023'],Fulham,2,Leeds,1
176,['2022-2023'],Arsenal,3,Southampton,3
177,['2022-2023'],Leeds,1,Liverpool,6
178,['2022-2023'],Nottingham,0,Manchester Utd,2
179,['2022-2023'],West Ham,2,Arsenal,2
180,['2022-2023'],Manchester City,3,Leicester,1
181,['2022-2023'],Chelsea,1,Brighton,2
182,['2022-2023'],Everton,1,Fulham,3
183,['2022-2023'],Southampton,0,Crystal Palace,2
184,['2022-2023'],Tottenham,2,Bournemouth,3
185,['2022-2023'],Wolves,2,Brentford,0
186,['2022-2023'],Aston Villa,3,Newcastle,0
187,['2022-2023'],Liverpool,2,Arsenal,2
188,['2022-2023'],Leeds,1,Crystal Palace,5
189,['2022-2023'],Southampton,1,Manchester City,4
190,['2022-2023'],Aston Villa,2,Nottingham,0
191,['2022-2023'],Brentford,1,Newcastle,2
192,['2022-2023'],Fulham,0,West Ham,1
193,['2022-2023'],Leicester,0,Bournemouth,1
194,['2022-2023'],Tottenham,2,Brighton,1
195,['2022-2023'],Wolves,1,Chelsea,0
196,['2022-2023'],Manchester Utd,2,Everton,0
197,['2022-2023'],Manchester Utd,1,Brentford,0
198,['2022-2023'],West Ham,1,Newcastle,5
199,['2022-2023'],Chelsea,0,Liverpool,0
200,['2022-2023'],Bournemouth,0,Brighton,2
201,['2022-2023'],Leeds,2,Nottingham,1
202,['2022-2023'],Leicester,1,Aston Villa,2
203,['2022-2023'],Everton,1,Tottenham,1
204,['2022-2023'],Newcastle,2,Manchester Utd,0
205,['2022-2023'],West Ham,1,Southampton,0
206,['2022-2023'],Arsenal,5,Wolves,0
207,['2022-2023'],Aston Villa,2,Brighton,1
208,['2022-2023'],Brentford,1,Manchester City,0
209,['2022-2023'],Chelsea,1,Newcastle,1
210,['2022-2023'],Crystal Palace,1,Nottingham,1
211,['2022-2023'],Everton,1,Bournemouth,0
212,['2022-2023'],Leeds,1,Tottenham,4
213,['2022-2023'],Leicester,2,West Ham,1
214,['2022-2023'],Manchester Utd,2,Fulham,1
215,['2022-2023'],Southampton,4,Liverpool,4
216,['2022-2023'],Manchester Utd,4,Chelsea,1
217,['2022-2023'],Brighton,1,Manchester City,1
218,['2022-2023'],Newcastle,0,Leicester,0
219,['2022-2023'],Manchester City,1,Chelsea,0
220,['2022-2023'],Brighton,3,Southampton,1
221,['2022-2023'],West Ham,3,Leeds,1
222,['2022-2023'],Nottingham,1,Arsenal,0
223,['2022-2023'],Bournemouth,0,Manchester Utd,1
224,['2022-2023'],Fulham,2,Crystal Palace,2
225,['2022-2023'],Liverpool,1,Aston Villa,1
226,['2022-2023'],Wolves,1,Everton,1
227,['2022-2023'],Tottenham,1,Brentford,3
228,['2022-2023'],Newcastle,4,Brighton,1
229,['2022-2023'],Leicester,0,Liverpool,3
230,['2022-2023'],Arsenal,0,Brighton,3
231,['2022-2023'],Brentford,2,West Ham,0
232,['2022-2023'],Everton,0,Manchester City,3
233,['2022-2023'],Aston Villa,2,Tottenham,1
234,['2022-2023'],Chelsea,2,Nottingham,2
235,['2022-2023'],Crystal Palace,2,Bournemouth,0
236,['2022-2023'],Manchester Utd,2,Wolves,0
237,['2022-2023'],Southampton,0,Fulham,2
238,['2022-2023'],Leeds,2,Newcastle,2
239,['2022-2023'],Nottingham,4,Southampton,3
240,['2022-2023'],Brighton,1,Everton,5
241,['2022-2023'],Fulham,5,Leicester,3
242,['2022-2023'],West Ham,1,Manchester Utd,0
243,['2022-2023'],Newcastle,0,Arsenal,2
244,['2022-2023'],Liverpool,1,Brentford,0
245,['2022-2023'],Bournemouth,1,Chelsea,3
246,['2022-2023'],Manchester City,2,Leeds,1
247,['2022-2023'],Tottenham,1,Crystal Palace,0
248,['2022-2023'],Wolves,1,Aston Villa,0
249,['2022-2023'],Brighton,1,Manchester Utd,0
250,['2022-2023'],Liverpool,1,Fulham,0
251,['2022-2023'],Manchester City,3,West Ham,0
252,['2022-2023'],Arsenal,3,Chelsea,1
253,['2022-2023'],Leicester,2,Everton,2
254,['2022-2023'],Liverpool,4,Tottenham,3
255,['2022-2023'],Bournemouth,4,Leeds,1
256,['2022-2023'],Fulham,1,Manchester City,2
257,['2022-2023'],Manchester Utd,1,Aston Villa,0
258,['2022-2023'],Newcastle,3,Southampton,1
259,['2022-2023'],Brentford,2,Nottingham,1
260,['2022-2023'],Brighton,6,Wolves,0
261,['2022-2023'],Crystal Palace,4,West Ham,3
262,['2022-2023'],Tottenham,2,Manchester Utd,2
263,['2022-2023'],Everton,1,Newcastle,4
264,['2022-2023'],Southampton,0,Bournemouth,1
265,['2022-2023'],Manchester City,4,Arsenal,1
