season,hometeam,homegoals,awayteam,awaygoals,Expected Goals (xG)home,Ball Possessionhome,Goal Attemptshome,Shots on Goalhome,Shots off Goalhome,Free Kickshome,Corner Kickshome,Offsideshome,Throw-inshome,Goalkeeper Saveshome,Foulshome,Total Passeshome,Tackleshome,Attackshome,Dangerous Attackshome,Expected Goals (xG)away,Ball Possessionaway,Goal Attemptsaway,Shots on Goalaway,Shots off Goalaway,Free Kicksaway,Corner Kicksaway,Offsidesaway,Throw-insaway,Goalkeeper Savesaway,Foulsaway,Total Passesaway,Tacklesaway,Attacksaway,Dangerous Attacksaway
['2022-2023'],Arsenal,5,Wolves,0,2.68,51%,14,8,6,9,8,1,12,0,8,456,17,92,56,0.51,49%,6,0,6,9,4,0,14,3,11,432,9,70,35
season,hometeam,homegoals,awayteam,awaygoals,Expected Goals (xG)home,Ball Possessionhome,Goal Attemptshome,Shots on Goalhome,Shots off Goalhome,Free Kickshome,Corner Kickshome,Offsideshome,Throw-inshome,Goalkeeper Saveshome,Foulshome,Yellow Cardshome,Total Passeshome,Tackleshome,Attackshome,Dangerous Attackshome,Expected Goals (xG)away,Ball Possessionaway,Goal Attemptsaway,Shots on Goalaway,Shots off Goalaway,Free Kicksaway,Corner Kicksaway,Offsidesaway,Throw-insaway,Goalkeeper Savesaway,Foulsaway,Yellow Cardsaway,Total Passesaway,Tacklesaway,Attacksaway,Dangerous Attacksaway
['2022-2023'],Aston Villa,2,Brighton,1,2.87,41%,12,5,7,22,3,0,20,3,15,4,283,14,90,37,1.56,59%,8,4,4,15,3,6,13,3,16,4,427,13,67,34
season,hometeam,homegoals,awayteam,awaygoals,Expected Goals (xG)home,Ball Possessionhome,Goal Attemptshome,Shots on Goalhome,Shots off Goalhome,Free Kickshome,Corner Kickshome,Offsideshome,Throw-inshome,Goalkeeper Saveshome,Foulshome,Yellow Cardshome,Total Passeshome,Tackleshome,Attackshome,Dangerous Attackshome,Expected Goals (xG)away,Ball Possessionaway,Goal Attemptsaway,Shots on Goalaway,Shots off Goalaway,Free Kicksaway,Corner Kicksaway,Offsidesaway,Throw-insaway,Goalkeeper Savesaway,Foulsaway,Yellow Cardsaway,Total Passesaway,Tacklesaway,Attacksaway,Dangerous Attacksaway
['2022-2023'],Brentford,1,Manchester City,0,0.44,34%,11,4,7,8,3,3,9,3,12,4,323,17,89,46,0.60,66%,17,3,14,13,4,0,14,3,8,0,635,14,110,81
season,hometeam,homegoals,awayteam,awaygoals,Expected Goals (xG)home,Ball Possessionhome,Goal Attemptshome,Shots on Goalhome,Shots off Goalhome,Free Kickshome,Corner Kickshome,Offsideshome,Throw-inshome,Goalkeeper Saveshome,Foulshome,Total Passeshome,Tackleshome,Attackshome,Dangerous Attackshome,Expected Goals (xG)away,Ball Possessionaway,Goal Attemptsaway,Shots on Goalaway,Shots off Goalaway,Free Kicksaway,Corner Kicksaway,Offsidesaway,Throw-insaway,Goalkeeper Savesaway,Foulsaway,Total Passesaway,Tacklesaway,Attacksaway,Dangerous Attacksaway
['2022-2023'],Chelsea,1,Newcastle,1,1.77,65%,22,5,17,13,10,2,15,3,9,593,21,129,74,1.50,35%,13,4,9,9,3,1,16,4,11,329,14,63,40
season,hometeam,homegoals,awayteam,awaygoals,Expected Goals (xG)home,Ball Possessionhome,Goal Attemptshome,Shots on Goalhome,Shots off Goalhome,Free Kickshome,Corner Kickshome,Offsideshome,Throw-inshome,Goalkeeper Saveshome,Foulshome,Yellow Cardshome,Total Passeshome,Tackleshome,Attackshome,Dangerous Attackshome,Expected Goals (xG)away,Ball Possessionaway,Goal Attemptsaway,Shots on Goalaway,Shots off Goalaway,Free Kicksaway,Corner Kicksaway,Offsidesaway,Throw-insaway,Goalkeeper Savesaway,Foulsaway,Yellow Cardsaway,Total Passesaway,Tacklesaway,Attacksaway,Dangerous Attacksaway
['2022-2023'],Crystal Palace,1,Nottingham,1,1.73,66%,15,3,12,13,5,2,22,3,9,0,538,15,57,30,0.46,34%,7,4,3,10,4,2,11,2,13,2,276,19,46,12
season,hometeam,homegoals,awayteam,awaygoals,Expected Goals (xG)home,Ball Possessionhome,Goal Attemptshome,Shots on Goalhome,Shots off Goalhome,Free Kickshome,Corner Kickshome,Offsideshome,Throw-inshome,Goalkeeper Saveshome,Foulshome,Yellow Cardshome,Total Passeshome,Tackleshome,Attackshome,Dangerous Attackshome,Expected Goals (xG)away,Ball Possessionaway,Goal Attemptsaway,Shots on Goalaway,Shots off Goalaway,Free Kicksaway,Corner Kicksaway,Offsidesaway,Throw-insaway,Goalkeeper Savesaway,Foulsaway,Yellow Cardsaway,Total Passesaway,Tacklesaway,Attacksaway,Dangerous Attacksaway
['2022-2023'],Everton,1,Bournemouth,0,1.00,38%,13,6,7,14,9,0,22,2,11,1,305,18,110,51,0.46,62%,7,2,5,11,3,1,21,5,12,3,533,12,94,42
